movie_title,release_date,genre,MPAA_rating,director,character,voice-actor,revenue
The Good Mother,4-Nov-88,Drama,NA,Steve Antin,NA,NA,9772655.0
The Hundred-Foot Journey,8-Aug-14,Romantic Comedy,PG,Lasse Hallström,NA,NA,55961409.0
Pearl Harbor,25-May-01,Action,PG-13,Michael Bay,NA,NA,295705112.0
Pirates of the Caribbean: At World’…,24-May-07,Adventure,PG-13,Gore Verbinski,NA,NA,379129960.0
Color of Night,19-Aug-94,Thriller/Suspense,R,Richard Rush,NA,NA,40804816.0
Romy and Michele's High School Reunion,25-Apr-97,Comedy,R,David Mirkin,NA,NA,53693680.0
Cheetah,18-Aug-89,Adventure,NA,Oz Scott,NA,NA,16653473.0
Jack,9-Aug-96,Drama,PG-13,Christopher McQuarrie,NA,NA,111792852.0
Monsters University,21-Jun-13,Adventure,G,Dan Scanlon,NA,NA,278395641.0
The Fifth Estate,18-Oct-13,Drama,R,Bill Condon,NA,NA,3374251.0
Before and After,23-Feb-96,Drama,PG-13,Barbet Schroeder,NA,NA,16482589.0
Moonlight Mile,27-Sep-02,Drama,PG-13,Brad Silberling,NA,NA,9909094.0
A Stranger Among Us,17-Jul-92,Drama,PG-13,Sidney Lumet,NA,NA,24950752.0
The Lizzie McGuire Movie,2-May-03,Comedy,PG,Jim Fall,NA,NA,59743191.0
Krippendorf's Tribe,27-Feb-98,Comedy,PG-13,Todd Holland,NA,NA,13608633.0
crazy/beautiful,29-Jun-01,Drama,PG-13,John Stockwell,NA,NA,25214223.0
Adventures in Babysitting,3-Jul-87,Comedy,NA,John Schultz,NA,NA,72853569.0
The Game Plan,22-Sep-07,Comedy,PG,Andy Fickman,NA,NA,111010758.0
Splash,9-Mar-84,Comedy,PG,Ron Howard,NA,NA,157057661.0
Who Framed Roger Rabbit?,22-Jun-88,Comedy,PG,Robert Zemeckis,NA,NA,316250084.0
The Light Between Oceans,2-Sep-16,Drama,PG-13,Derek Cianfrance,NA,NA,12545979.0
The Guardian,29-Sep-06,Action,PG-13,Andrew Davis,NA,NA,70801353.0
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Archimedes,Junius Matthews,153870834.0
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Arthur/Wart,Rickie Sorensen,153870834.0
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Arthur/Wart,Richard Reitherman,153870834.0
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Arthur/Wart,Robert Reitherman,153870834.0
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Black Bart,Thurl Ravenscroft,153870834.0
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Madam Mim,Martha Wentworth,153870834.0
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Merlin,Karl Swenson,153870834.0
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Sir Ector,Sebastian Cabot,153870834.0
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Sir Kay,Norman Alden,153870834.0
