,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,character,voice-actor
173,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Sir Kay,Norman Alden
174,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Sir Pellinore,Alan Napier
175,Mr. Holland's Opus,29-Dec-95,Drama,PG,B,,,
176,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Cody,Adam Ryen
177,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Doctor Mouse,Bernard Fox
178,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Faloo,Carla Meyer
179,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Francois,Ed Gilbert
180,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Frank,Wayne Robson
181,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Jake,Tristan Rogers
182,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Krebbs,Douglas Seale
183,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Marahute,Frank Welker
184,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Nurse Mouse,Russi Taylor
185,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Percival C. McLeach,George C. Scott
186,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Red,Peter Firth
187,The Rescuers Down Under,16-Nov-90,Adventure,G,C,Mike Gabriel,Wilbur,John Candy
188,The Preacher's Wife,13-Dec-96,Drama,PG,B,,,
189,Sarafina!,18-Sep-92,Drama,PG-13,D,,,
190,Trenchcoat,11-Mar-83,Comedy,,D,,,
191,Confessions of a Teenage Drama Queen,20-Feb-04,Comedy,PG,C,,,
192,Around the World in 80 Days,16-Jun-04,Adventure,PG,C,,,
193,Blaze,13-Dec-89,Drama,R,C,,,
194,Toy Story,22-Nov-95,Adventure,G,A,,,
195,Prince of Persia: Sands of Time,28-May-10,Action,PG-13,B,,,
196,Eddie,31-May-96,Comedy,PG-13,C,,,
197,White Fang 2: Myth of the White Wolf,15-Apr-94,Adventure,PG,D,,,
198,White Squall,2-Feb-96,Adventure,PG-13,D,,,
199,The Invisible,27-Apr-07,Thriller/Suspense,PG-13,C,,,
200,Guilty as Sin,4-Jun-93,Thriller/Suspense,R,C,,,
201,Operation Dumbo Drop,28-Jul-95,Adventure,PG,C,,,
202,Ghosts of the Abyss,11-Apr-03,Documentary,G,C,,,
203,Scenes from a Mall,22-Feb-91,Comedy,,D,,,
204,The BFG,1-Jul-16,Adventure,PG,C,,,
205,Tron,9-Jul-82,Action,,B,,,
206,Firelight,4-Sep-98,Drama,R,D,,,
207,Delivery Man,22-Nov-13,Comedy,PG-13,C,,,
208,New York Stories,1-Mar-89,Drama,PG,C,,,
209,Disorganized Crime,14-Apr-89,Comedy,,D,,,
210,Tom and Huck,22-Dec-95,Adventure,PG,C,,,
211,Keeping the Faith,14-Apr-00,Romantic Comedy,PG-13,C,,,
212,Grosse Pointe Blank,11-Apr-97,Black Comedy,R,C,,,
213,Indian Summer,23-Apr-93,Comedy,R,C,,,
214,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Buford the Cook,Michael Colyar
215,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Charlotte La Bouff,Jennifer Cody
216,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Cousin Randy,Randy Newman
217,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Dr. Facilier,Keith David
218,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,"Eli ""Big Daddy"" La Bouff",John Goodman
219,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Eudora,Oprah Winfrey
220,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Evangaline,None
221,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Harvey Fenner,Corey Burton
222,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Henry Fenner,Jerry Kernion
223,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Ian the Alligator,Kevin Michael Richardson
224,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Lawrence the Valet,Peter Bartlett
225,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Louis the Alligator,Michael-Leon Wooley
